survived,sex,age,sibsp,fare
1,female,14,1,30.0708
1,male,2,1,26
1,male,3,1,26
0,male,36.5,0,26
0,male,26,0,13
0,male,19,1,36.75
0,male,28,0,13.5
1,male,20,0,13.8625
1,female,29,0,10.5
0,male,39,0,13
1,male,22,0,10.5
1,male,,0,13.8625
0,male,23,0,10.5
1,male,29,0,13.8583
0,male,28,0,10.5
0,male,,0,0
1,female,50,0,26
0,male,19,0,10.5
0,male,,0,15.05
0,male,41,0,13
1,female,21,0,21
1,female,19,0,26
0,male,43,0,21
1,female,32,0,13
0,male,34,0,13
1,male,30,0,12.7375
0,male,27,0,15.0333
1,female,2,1,26
1,female,8,1,26
1,female,33,0,26
0,male,36,0,10.5
0,male,34,1,21
1,female,30,3,21
1,female,28,0,13
0,male,23,0,15.0458
1,male,0.8333,1,18.75
1,male,3,1,18.75
1,female,24,2,18.75
1,female,50,0,10.5
0,male,19,0,10.5
1,female,21,0,10.5
0,male,26,0,13
0,male,25,0,13
0,male,27,0,26
1,female,25,0,26
1,female,18,0,13
1,female,20,0,36.75
1,female,30,0,13
0,male,59,0,13.5
1,female,30,0,12.35
0,male,35,0,10.5
1,female,40,0,13
0,male,25,0,13
0,male,41,0,15.0458
0,male,25,0,10.5
0,male,18.5,0,13
0,male,14,0,65
1,female,50,0,10.5
0,male,23,0,13
1,female,28,0,12.65
1,female,27,0,10.5
0,male,29,1,21
0,female,27,1,21
0,male,40,0,13
1,female,31,0,21
0,male,30,1,21
0,male,23,1,10.5
1,female,31,0,21
0,male,,0,0
1,female,12,0,15.75
1,female,40,0,15.75
1,female,32.5,0,13
0,male,27,1,26
1,female,29,1,26
1,male,2,1,23
1,female,4,1,23
1,female,29,0,23
1,female,0.9167,1,27.75
1,female,5,1,27.75
0,male,36,1,27.75
1,female,33,1,27.75
0,male,66,0,10.5
0,male,,0,12.875
1,male,31,0,13
1,male,,0,13
1,female,26,0,13.5
0,female,24,0,13
0,male,42,0,7.55
0,male,13,0,20.25
0,male,16,1,20.25
1,female,35,1,20.25
1,female,16,0,7.65
1,male,25,0,7.65
1,male,20,0,7.925
1,female,18,0,7.2292
0,male,30,0,7.25
0,male,26,0,8.05
0,female,40,1,9.475
1,male,0.8333,0,9.35
1,female,18,0,9.35
1,male,26,0,18.7875
0,male,26,0,7.8875
0,male,20,0,7.925
0,male,24,0,7.05
0,male,25,0,7.05
0,male,35,0,8.05
0,male,18,0,8.3
0,male,32,0,22.525
1,female,19,1,7.8542
0,male,4,4,31.275
0,female,6,4,31.275
0,female,2,4,31.275
1,female,17,4,7.925
0,female,38,4,7.775
0,female,9,4,31.275
0,female,11,4,31.275
0,male,39,1,31.275
1,male,27,0,7.7958
0,male,26,0,7.775
0,female,39,1,31.275
0,male,20,0,7.8542
0,male,26,0,7.8958
0,male,25,1,17.8
0,female,18,1,17.8
0,male,24,0,7.775
0,male,35,0,7.05
0,male,5,4,31.3875
0,male,9,4,31.3875
1,male,3,4,31.3875
0,male,13,4,31.3875
1,female,5,4,31.3875
0,male,40,1,31.3875
1,male,23,0,7.7958
1,female,38,1,31.3875
1,female,45,0,7.225
0,male,21,0,7.225
0,male,23,0,7.05
0,female,17,0,14.4583
0,male,30,0,7.225
0,male,23,0,7.8542
1,female,13,0,7.2292
0,male,20,0,7.225
0,male,32,1,15.85
1,female,33,3,15.85
1,female,0.75,2,19.2583
1,female,0.75,2,19.2583
1,female,5,2,19.2583
1,female,24,0,19.2583
1,female,18,0,8.05
0,male,40,0,7.225
0,male,26,0,7.8958
1,male,20,0,7.2292
0,female,18,0,14.4542
0,female,45,0,14.4542
0,female,27,0,7.8792
0,male,22,0,8.05
0,male,19,0,8.05
0,male,26,0,7.775
0,male,22,0,9.35
0,male,,0,7.2292
0,male,20,0,4.0125
1,male,32,0,56.4958
0,male,21,0,7.775
0,male,18,0,7.75
0,male,26,0,7.8958
0,male,6,1,15.2458
0,female,9,1,15.2458
0,male,,0,7.225
0,female,,0,15.2458
0,female,,0,7.75
0,male,40,1,15.5
0,female,32,1,15.5
0,male,21,0,16.1
1,female,22,0,7.725
0,female,20,0,7.8542
0,male,29,1,7.0458
0,male,22,1,7.25
0,male,22,0,7.7958
0,male,35,0,8.05
0,female,18.5,0,7.2833
1,male,21,0,7.8208
0,male,19,0,6.75
0,female,18,0,7.8792
0,female,21,0,8.6625
0,female,30,0,8.6625
0,male,18,0,8.6625
0,male,38,0,8.6625
0,male,17,0,8.6625
0,male,17,0,8.6625
0,female,21,0,7.75
0,male,21,0,7.75
0,male,21,0,8.05
0,male,,1,14.4583
0,female,,1,14.4583
0,male,28,0,7.7958
0,male,24,0,7.8542
1,female,16,0,7.75
0,female,37,0,7.75
0,male,28,0,7.25
0,male,24,0,8.05
0,male,21,0,7.7333
1,male,32,0,56.4958
0,male,29,0,8.05
0,male,26,1,14.4542
0,male,18,1,14.4542
0,male,20,0,7.05
1,male,18,0,8.05
0,male,24,0,7.25
0,male,36,0,7.4958
0,male,24,0,7.4958
0,male,31,0,7.7333
0,male,31,0,7.75
1,female,22,0,7.75
0,female,30,0,7.6292
0,male,70.5,0,7.75
0,male,43,0,8.05
0,male,35,0,7.8958
0,male,27,0,7.8958
0,male,19,0,7.8958
0,male,30,0,8.05
1,male,9,1,15.9
1,male,3,1,15.9
1,female,36,0,15.9
0,male,59,0,7.25
0,male,19,0,8.1583
1,female,17,0,16.1
0,male,44,0,16.1
0,male,17,0,8.6625
0,male,22.5,0,7.225
1,male,45,0,8.05
0,female,22,0,10.5167
0,male,19,0,10.1708
1,female,30,0,6.95
1,male,29,0,7.75
0,male,0.3333,0,14.4
0,male,34,1,14.4
0,female,28,1,14.4
0,male,27,0,7.8958
0,male,25,0,7.8958
0,male,24,2,24.15
0,male,22,0,8.05
0,male,21,2,24.15
0,male,17,2,8.05
0,male,,1,16.1
1,female,,1,16.1
1,male,36.5,1,17.4
1,female,36,1,17.4
1,male,30,0,9.5
0,male,16,0,9.5
1,male,1,1,20.575
1,female,0.1667,1,20.575
0,male,26,1,20.575
1,female,33,1,20.575
0,male,25,0,7.8958
0,male,,0,7.8958
0,male,,0,7.8958
0,male,22,0,7.25
0,male,36,0,7.25
1,female,19,0,7.8792
0,male,17,0,7.8958
0,male,42,0,8.6625
0,male,43,0,7.8958
0,male,,0,7.2292
0,male,32,0,7.75
1,male,19,0,8.05
1,female,30,0,12.475
0,female,24,0,7.75
1,female,23,0,8.05
0,male,33,0,7.8958
0,male,65,0,7.75
1,male,24,0,7.55
0,male,23,1,13.9
1,female,22,1,13.9
0,male,18,0,7.775
0,male,16,0,7.775
0,male,45,0,6.975
0,male,,0,7.225
0,male,39,0,7.2292
0,male,17,1,7.2292
0,male,15,1,7.2292
0,male,47,0,7.25
1,female,5,0,12.475
0,male,,0,7.225
0,male,40.5,0,15.1
0,male,40.5,0,7.75
1,male,,0,7.05
0,male,18,0,7.7958
0,female,,0,7.75
0,male,,0,7.75
0,male,,0,6.95
0,male,26,0,7.8792
0,male,,0,7.75
1,male,,0,56.4958
0,female,21,2,34.375
0,female,9,2,34.375
0,male,,0,8.05
0,male,18,2,34.375
0,male,16,1,34.375
0,female,48,1,34.375
0,male,,0,7.75
0,male,,0,7.25
0,male,25,0,7.7417
0,male,,0,14.5
0,male,,0,7.8958
0,male,22,0,8.05
1,female,16,0,7.7333
1,female,,0,7.75
1,male,9,0,20.525
0,male,33,1,20.525
0,male,41,0,7.85
1,female,31,1,20.525
0,male,38,0,7.05
0,male,9,5,46.9
0,male,1,5,46.9
0,male,11,5,46.9
0,female,10,5,46.9
0,female,16,5,46.9
0,male,14,5,46.9
0,male,40,1,46.9
0,female,43,1,46.9
0,male,51,0,8.05
0,male,32,0,8.3625
0,male,,0,8.05
0,male,20,0,9.8458
0,male,37,2,7.925
0,male,28,2,7.925
0,male,19,0,7.775
0,female,24,0,8.85
0,female,17,0,7.7333
0,male,,1,19.9667
0,male,,1,19.9667
0,male,28,1,15.85
1,female,24,1,15.85
0,male,20,0,9.5
0,male,23.5,0,7.2292
0,male,41,2,14.1083
0,male,26,1,7.8542
0,male,21,0,7.8542
1,female,45,1,14.1083
0,female,,0,7.55
0,male,25,0,7.25
0,male,,0,6.8583
0,male,11,0,18.7875
1,female,,0,7.75
1,male,27,0,6.975
1,male,,0,56.4958
0,female,18,0,6.75
1,female,26,0,7.925
0,female,23,0,7.925
1,female,22,0,8.9625
0,male,28,0,7.8958
0,female,28,0,7.775
0,female,,0,7.75
1,female,2,0,12.2875
1,female,22,1,12.2875
0,male,43,0,6.45
0,male,28,0,22.525
1,female,27,0,7.925
0,male,,0,7.75
1,female,,0,8.05
0,male,42,0,7.65
1,male,,0,7.8875
0,male,30,0,7.2292
0,male,,0,7.8958
0,female,27,1,7.925
0,female,25,1,7.925
0,male,,0,7.8958
1,male,29,0,7.8958
1,male,21,0,7.7958
0,male,,0,7.05
0,male,20,0,7.8542
0,male,48,0,7.8542
0,male,17,1,7.0542
1,female,,0,7.75
1,male,,0,8.1125
0,male,34,0,6.4958
1,male,26,0,7.775
0,male,22,0,7.7958
0,male,33,0,8.6542
0,male,31,0,7.775
0,male,29,0,7.8542
1,male,4,1,11.1333
1,female,1,1,11.1333
0,male,49,0,0
0,male,33,0,7.775
0,male,19,0,0
1,female,27,0,11.1333
0,male,,1,23.45
0,female,,1,23.45
0,male,,1,23.45
0,female,,1,23.45
0,male,23,0,7.8958
1,male,32,0,7.8542
0,male,27,0,7.8542
0,female,20,1,9.825
0,female,21,1,9.825
1,male,32,0,7.925
0,male,17,0,7.125
0,male,21,0,8.4333
0,male,30,0,7.8958
1,male,21,0,7.7958
0,male,33,0,7.8542
0,male,22,0,7.5208
1,female,4,0,13.4167
1,male,39,0,13.4167
0,male,,0,7.2292
0,male,18.5,0,7.2292
0,male,,0,7.75
0,male,,0,7.25
1,female,,0,7.75
1,female,,0,7.75
0,male,34.5,0,7.8292
0,male,44,0,8.05
1,male,,0,7.75
0,male,,1,14.4542
0,female,,1,14.4542
0,male,,1,7.75
0,male,,1,7.75
0,male,,0,7.7375
0,female,22,2,8.6625
0,male,26,2,8.6625
1,female,4,0,22.025
1,male,29,3,22.025
1,female,26,1,22.025
0,female,1,1,12.1833
0,male,18,1,7.8542
0,female,36,0,12.1833
0,male,,0,7.8958
1,male,25,0,7.2292
0,male,,0,7.225
0,female,37,0,9.5875
0,male,,0,7.8958
1,male,,0,56.4958
0,male,,0,56.4958
1,female,22,0,7.25
0,male,,0,7.75
1,male,26,0,56.4958
0,male,29,0,9.4833
0,male,29,0,7.775
0,male,22,0,7.775
1,male,22,0,7.225
0,male,,3,25.4667
0,female,,3,25.4667
0,female,,3,25.4667
0,female,,3,25.4667
0,female,,0,25.4667
0,male,32,0,7.925
0,male,34.5,0,6.4375
0,female,,1,15.5
0,male,,1,15.5
0,male,36,0,0
0,male,39,0,24.15
0,male,24,0,9.5
0,female,25,0,7.775
0,female,45,0,7.75
0,male,36,1,15.55
0,female,30,1,15.55
1,male,20,1,7.925
0,male,,0,7.8792
0,male,28,0,56.4958
0,male,,0,7.55
0,male,30,1,16.1
0,female,26,1,16.1
0,male,,0,7.8792
0,male,20.5,0,7.25
1,male,27,0,8.6625
0,male,51,0,7.0542
1,female,23,0,7.8542
1,male,32,0,7.5792
0,male,,0,7.8958
0,male,,0,7.55
1,female,,0,7.75
1,male,24,0,7.1417
0,male,22,0,7.125
0,female,,0,7.8792
0,male,,0,7.75
0,male,,0,8.05
0,male,29,0,7.925
1,male,,0,7.2292
0,female,30.5,0,7.75
1,female,,0,7.7375
0,male,,0,7.2292
0,male,35,0,7.8958
0,male,33,0,7.8958
1,female,,0,7.225
0,male,,0,7.8958
1,female,,0,7.75
1,male,,0,7.75
1,female,,2,23.25
1,female,,2,23.25
1,male,,2,23.25
1,female,,0,7.7875
0,male,,0,15.5
1,female,,0,7.8792
1,female,15,0,8.0292
0,female,35,0,7.75
0,male,,0,7.75
0,male,24,1,16.1
0,female,19,1,16.1
0,female,,0,7.75
0,female,,0,8.05
0,female,,0,8.05
0,male,55.5,0,8.05
0,male,,0,7.75
1,male,21,0,7.775
0,male,,0,8.05
0,male,24,0,7.8958
0,male,21,0,7.8958
0,male,28,0,7.8958
0,male,,0,7.8958
1,female,,0,7.8792
0,male,25,0,7.65
1,male,6,0,12.475
1,female,27,0,12.475
0,male,,0,8.05
1,female,,1,24.15
0,male,,1,24.15
0,male,,0,8.4583
0,male,34,0,8.05
0,male,,0,7.75
1,male,,0,7.775
1,male,,1,15.2458
1,male,,1,15.2458
1,female,,0,15.2458
1,female,,0,7.2292
0,male,,0,8.05
1,female,,0,7.7333
1,female,24,0,7.75
0,male,,0,8.05
1,female,,1,15.5
1,female,,1,15.5
1,female,,0,15.5
0,male,18,0,7.75
0,male,22,0,7.8958
1,female,15,0,7.225
1,female,1,0,15.7417
1,male,20,1,15.7417
1,female,19,1,15.7417
0,male,33,0,8.05
0,male,,0,7.8958
0,male,,0,7.2292
0,female,,0,7.75
0,male,,0,7.8958
1,male,12,1,11.2417
1,female,14,1,11.2417
0,female,29,0,7.925
0,male,28,0,8.05
1,female,18,0,7.775
1,female,26,0,7.8542
0,male,21,0,7.8542
0,male,41,0,7.125
1,male,39,0,7.925
0,male,21,0,7.8
0,male,28.5,0,7.2292
1,female,22,0,7.75
0,male,61,0,6.2375
0,male,,1,15.5
0,male,,0,7.8292
1,female,,1,15.5
0,male,,0,7.7333
0,male,,0,7.75
0,male,,0,7.75
0,male,23,0,9.225
0,female,,0,7.75
1,female,,0,7.75
1,female,,0,7.8792
1,female,22,0,7.775
1,male,,0,7.75
1,female,,0,7.8292
1,male,9,0,3.1708
0,male,28,0,22.525
0,male,42,0,8.4042
0,male,,0,7.3125
0,female,31,0,7.8542
0,male,28,0,7.8542
1,male,32,0,7.775
0,male,20,0,9.225
0,female,23,0,8.6625
0,female,20,0,8.6625
0,male,20,0,8.6625
0,male,16,0,9.2167
1,female,31,0,8.6833
0,female,,0,7.6292
0,male,2,3,21.075
0,male,6,3,21.075
0,female,3,3,21.075
0,female,8,3,21.075
0,female,29,0,21.075
0,male,1,4,39.6875
0,male,7,4,39.6875
0,male,2,4,39.6875
0,male,16,4,39.6875
0,male,14,4,39.6875
0,female,41,0,39.6875
0,male,21,0,8.6625
0,male,19,0,14.5
0,male,,0,8.7125
0,male,32,0,7.8958
0,male,0.75,1,13.775
0,female,3,1,13.775
0,female,26,0,13.775
0,male,,0,7
0,male,,0,7.775
0,male,,0,8.05
0,male,21,0,7.925
0,male,25,0,7.925
0,male,22,0,7.25
1,male,25,1,7.775
1,male,,1,22.3583
1,female,,1,22.3583
1,female,,0,22.3583
0,female,,0,8.1375
0,male,24,0,8.05
0,female,28,0,7.8958
0,male,19,0,7.8958
0,male,,0,7.8958
0,male,25,1,7.775
0,female,18,0,7.775
1,male,32,0,8.05
0,male,,0,7.8958
0,male,17,0,8.6625
0,male,24,0,8.6625
0,male,,0,7.8958
0,female,,0,8.1125
0,male,,0,7.2292
0,male,,0,7.25
0,male,38,0,7.8958
0,male,21,0,8.05
0,male,10,4,29.125
0,male,4,4,29.125
0,male,7,4,29.125
0,male,2,4,29.125
0,male,8,4,29.125
0,female,39,0,29.125
0,female,22,0,39.6875
0,male,35,0,7.125
1,female,,0,7.7208
0,male,,0,14.5
0,female,,0,14.5
0,male,50,1,14.5
0,female,47,1,14.5
0,male,,0,8.05
0,male,,0,7.775
0,female,2,1,20.2125
0,male,18,1,20.2125
0,female,41,0,20.2125
1,female,,0,8.05
0,male,50,0,8.05
0,male,16,0,8.05
1,male,,0,7.75
0,male,,0,24.15
0,male,,0,7.2292
0,male,25,0,7.225
0,male,,0,7.225
0,male,,0,7.7292
0,male,,0,7.575
0,male,38.5,0,7.25
0,male,,8,69.55
0,male,14.5,8,69.55
0,female,,8,69.55
0,female,,8,69.55
0,female,,8,69.55
0,female,,8,69.55
0,male,,8,69.55
0,male,,8,69.55
0,male,,8,69.55
0,male,,1,69.55
